step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.512345596161579,0,0.0,0.958624954990096,0,0.0
10.0,0,0.0,0.0,13.7991642234036,0,0.0,0.9505635691817063,0,0.0
15.0,1,1.0,0.09090909090909091,11.115007404368002,1,1.0,0.7573481291868595,1,1.0
20.0,3,13.0,0.8666666666666667,9.495943353120785,3,13.0,0.612033859533182,3,13.0
25.0,6,35.0,2.0588235294117645,7.307864329418473,6,35.0,0.5017839065553955,6,35.0
30.0,9,75.0,3.75,5.1214261974464375,9,75.0,0.3320010179203427,9,75.0
35.0,13,137.0,5.956521739130435,4.274664696623231,13,137.0,0.24244039882480006,13,137.0
40.0,17,211.0,8.44,2.7176058504346368,17,211.0,0.09612825065003405,17,211.0
45.0,21,310.0,11.071428571428571,2.8631601704374825,21,310.0,0.17615725434607613,21,310.0
50.0,24,420.0,12.727272727272727,2.3891355322603425,24,420.0,0.16363212987021886,24,420.0
55.0,28,549.0,14.447368421052632,2.213157739635792,28,549.0,0.1357205622455364,28,549.0
60.0,34,710.0,18.205128205128204,1.5751842528186548,34,710.0,0.06708262817494975,34,710.0
65.0,37,885.0,20.58139534883721,1.560827518159215,37,885.0,0.048923155669494366,37,885.0
70.0,38,1075.0,25.0,1.4613113251158725,38,1075.0,0.06865949423811238,38,1075.0
75.0,38,1265.0,30.11904761904762,1.2367128496696045,38,1265.0,0.02460679392795473,38,1265.0
80.0,32,1090.0,26.585365853658537,1.3509539137878577,32,1318.0,0.03178873273332523,32,1318.0
85.0,24,766.0,18.682926829268293,3.233150927061207,24,1225.0,0.1059415609791674,24,1225.0
90.0,15,464.0,11.047619047619047,5.685951582784544,15,1002.0,0.21435890260180837,15,1002.0
95.0,6,164.0,4.205128205128205,5.662995591996952,6,1039.0,0.29558519337849753,6,1039.0
100.0,6,22.0,0.6111111111111112,5.195348350138239,6,1064.0,0.24647706269898606,6,1064.0
105.0,13,76.0,2.0,4.008217046005349,13,1118.0,0.23181964610433922,13,1118.0
110.0,20,164.0,4.0,2.776074084870704,20,1206.0,0.13721483234390594,20,1206.0
115.0,26,284.0,6.926829268292683,1.6977234736966416,26,1327.0,0.06504398922800039,26,1327.0
120.0,32,432.0,9.818181818181818,1.7361417425113779,32,1476.0,0.07200788338756005,32,1476.0
125.0,38,613.0,13.931818181818182,1.6927654965682903,38,1659.0,0.06682061391814792,38,1659.0
130.0,32,601.0,14.30952380952381,1.4729445523125644,32,1673.0,0.07727490844415144,32,1673.0
135.0,24,443.0,10.30232558139535,3.028638656245268,24,1498.0,0.11593522684251566,24,1498.0
140.0,17,319.0,7.25,5.708408411076926,17,1162.0,0.20623431999033803,17,1162.0
145.0,8,143.0,3.4878048780487805,5.387386301753973,8,1196.0,0.2531195996193918,8,1196.0
150.0,7,28.0,0.7777777777777778,5.120848264157397,7,1222.0,0.2584399777035733,7,1222.0
155.0,13,81.0,2.076923076923077,4.4698528078612645,13,1275.0,0.2005382513765486,13,1275.0
160.0,21,170.0,4.25,2.66660636616282,21,1364.0,0.14789420756697624,21,1364.0
165.0,22,177.0,4.425,1.282084216771624,22,1304.0,0.05939626170297403,22,1304.0
170.0,20,138.0,3.2857142857142856,2.9952545884304413,20,1079.0,0.1212333694426798,20,1079.0
175.0,17,124.0,2.883720930232558,5.189307277533967,17,703.0,0.16976800009553641,17,703.0
180.0,7,46.0,1.15,5.425684790106925,7,732.0,0.26552816190884954,7,732.0
185.0,7,26.0,0.7027027027027027,5.302924715871207,7,758.0,0.21847448458886418,7,758.0
190.0,13,77.0,2.081081081081081,4.102271365867922,13,810.0,0.1947291298473304,13,810.0
195.0,14,76.0,2.0,2.7456665024005016,14,709.0,0.13386974106626104,14,709.0
200.0,11,45.0,1.1538461538461537,3.7185640077348396,11,518.0,0.1413489450826479,11,518.0
205.0,10,38.0,0.9047619047619048,5.494339230852664,10,341.0,0.21464978131520474,10,341.0
210.0,6,37.0,0.9487179487179487,6.881001547932742,6,220.0,0.3277399398802142,6,220.0
215.0,2,3.0,0.08108108108108109,7.5033642902016915,2,209.0,0.428186103841764,2,209.0
220.0,7,25.0,0.6756756756756757,6.503137133445618,7,228.0,0.3337061446041642,7,228.0
225.0,13,77.0,2.138888888888889,4.477577452289214,13,280.0,0.18937742075285133,13,280.0
230.0,19,156.0,4.216216216216216,3.0544373542838925,19,359.0,0.1340424070773518,19,359.0
235.0,25,267.0,6.675,1.8526151135751974,25,470.0,0.06290915595298283,25,470.0
240.0,26,267.0,6.675,1.4737589116949408,26,520.0,0.07113694690506737,26,520.0
245.0,22,195.0,4.7560975609756095,3.183848433934199,22,487.0,0.11829314732378249,22,487.0
250.0,15,153.0,3.825,4.898984724074924,15,396.0,0.16094928530975547,15,396.0
255.0,8,79.0,2.0256410256410255,5.260563664001078,8,443.0,0.23268061372753868,8,443.0
260.0,6,26.0,0.7878787878787878,4.440540073979142,6,472.0,0.21329460883062665,6,472.0
265.0,13,77.0,2.2,3.363299271977623,13,523.0,0.15167736562968592,13,523.0
270.0,14,80.0,2.2222222222222223,2.5154507841249587,14,525.0,0.1420110260275214,14,525.0
275.0,12,64.0,1.5609756097560976,4.4600631636024675,12,454.0,0.2243126832633003,12,454.0
280.0,10,37.0,0.8222222222222222,6.141334984940461,10,345.0,0.26080290580800586,10,345.0
285.0,8,23.0,0.5476190476190477,5.738319560423285,8,383.0,0.2865190716136605,8,383.0
290.0,8,35.0,0.8974358974358975,5.8887264765307,8,423.0,0.26565299993469893,8,423.0
295.0,13,92.0,2.358974358974359,4.2370590900336085,13,481.0,0.16061754032179482,13,481.0
300.0,15,91.0,2.3333333333333335,2.3650352112116164,15,482.0,0.10609721554514127,15,482.0
305.0,13,60.0,1.4285714285714286,3.9914374682086344,13,403.0,0.1674642166575565,13,403.0
310.0,11,57.0,1.3255813953488371,5.243079030359865,11,268.0,0.19673041444154363,11,268.0
315.0,8,52.0,1.2682926829268293,6.805949082513717,8,233.0,0.3204389437555699,8,233.0
320.0,1,1.0,0.02631578947368421,7.480520727841445,1,194.0,0.437851787178344,1,194.0
325.0,7,24.0,0.5853658536585366,7.602161424054976,7,216.0,0.44591680631053116,7,216.0
330.0,12,75.0,1.829268292682927,5.429234681992581,12,267.0,0.3023132613289602,12,267.0
335.0,18,154.0,3.85,3.666883062154625,18,346.0,0.16391702695088378,18,346.0
340.0,25,265.0,6.162790697674419,2.4946932556025256,25,457.0,0.056084395878604795,25,457.0
345.0,26,268.0,6.090909090909091,1.935713463713789,26,516.0,0.06873110867857542,26,516.0
350.0,23,205.0,4.880952380952381,3.4022019450480085,23,502.0,0.14772398189401373,23,502.0
355.0,14,152.0,3.5348837209302326,5.448773768952516,14,417.0,0.19512852621430266,14,417.0
360.0,7,72.0,1.8461538461538463,6.888502877491646,7,370.0,0.323453124573192,7,370.0
365.0,4,39.0,1.1470588235294117,8.188260616332572,4,268.0,0.4690108865149851,4,268.0
370.0,1,1.0,0.02631578947368421,8.187320120397363,1,232.0,0.5175264888189167,1,232.0
375.0,8,26.0,0.7027027027027027,6.952042444121073,8,239.0,0.35350121039694893,8,239.0
