step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.0273377206409355,0,0.0,0.43906143228779876,0,0.0
10.0,0,0.0,0.0,11.550695098948044,0,0.0,0.8330248323437305,0,0.0
15.0,0,0.0,0.0,8.208034862554712,0,0.0,0.5739738455490017,0,0.0
20.0,7,22.0,0.9166666666666666,6.195725617727472,7,22.0,0.35182721195250954,7,22.0
25.0,12,49.0,1.75,5.907824078027008,12,49.0,0.3540037840396244,12,49.0
30.0,12,98.0,3.769230769230769,4.6181360461481145,12,98.0,0.3071714536735806,12,98.0
35.0,9,90.0,3.2142857142857144,4.951332450600061,9,122.0,0.30746478254281184,9,122.0
40.0,16,145.0,3.8157894736842106,4.777711481107792,16,146.0,0.24042089767923025,16,146.0
45.0,10,71.0,1.775,6.993194705391477,10,150.0,0.41413958570453197,10,150.0
50.0,6,48.0,1.2,6.983100665092726,6,103.0,0.40442376278297654,6,103.0
55.0,10,49.0,1.1666666666666667,5.5033551854777025,10,91.0,0.24866717337249192,10,91.0
60.0,16,116.0,3.135135135135135,5.9152342353611,16,144.0,0.3000164822590019,16,144.0
65.0,15,146.0,3.5609756097560976,4.8100433296142695,15,186.0,0.22035140588711646,15,186.0
70.0,15,193.0,5.078947368421052,5.671412015936899,15,214.0,0.28355380389923873,15,214.0
75.0,16,199.0,4.5227272727272725,3.9256440916531776,16,255.0,0.16912349301695714,16,255.0
80.0,24,303.0,6.586956521739131,4.653036210479002,24,324.0,0.2536571768490339,24,324.0
85.0,24,363.0,7.5625,4.182257248620442,24,406.0,0.23888812601933043,24,406.0
90.0,21,430.0,9.347826086956522,3.742060470864723,21,447.0,0.18038384676532146,21,447.0
95.0,26,552.0,11.04,5.286508059429653,26,552.0,0.22641453727436617,26,552.0
100.0,26,487.0,9.74,3.596061324987287,26,613.0,0.15545410303099572,26,613.0
105.0,21,434.0,9.041666666666666,4.276096578201341,21,592.0,0.19065445387834698,21,592.0
110.0,18,454.0,8.407407407407407,4.417140480468405,18,601.0,0.19244282862523346,18,601.0
115.0,30,574.0,10.25,4.08414423363078,30,688.0,0.19556513088363733,30,688.0
120.0,28,678.0,13.038461538461538,3.746794905069776,28,782.0,0.20781124810077234,28,782.0
125.0,26,755.0,13.981481481481481,3.17187752688152,26,826.0,0.14521670479396603,26,826.0
130.0,26,438.0,7.551724137931035,3.638876628315806,26,776.0,0.18288789241920753,26,776.0
135.0,32,419.0,7.224137931034483,3.19092800563915,32,645.0,0.1406118958187681,32,645.0
140.0,33,363.0,6.05,3.114404804818923,33,690.0,0.14077261538101854,33,690.0
145.0,38,310.0,4.84375,2.8500875115214166,38,705.0,0.08678627480343468,38,705.0
150.0,26,312.0,4.8,3.95616016163775,26,721.0,0.1885494328316532,26,721.0
155.0,21,269.0,4.26984126984127,4.663279605826188,21,738.0,0.24191213776015077,21,738.0
160.0,29,346.0,5.323076923076923,3.5433042887338644,29,733.0,0.1351480568073374,29,733.0
165.0,30,356.0,5.476923076923077,3.668094996066221,30,765.0,0.17094273799323823,30,765.0
170.0,36,478.0,7.3538461538461535,3.0995161100634565,36,789.0,0.10746578368540426,36,789.0
175.0,40,459.0,7.171875,3.1168990636373106,40,883.0,0.11998987612633108,40,883.0
180.0,44,640.0,10.491803278688524,2.5701104374182977,44,957.0,0.05733245234277966,44,957.0
